,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_y,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,geometry
23,3119034,48-186777,2019-WTW-10017-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.528526,28.286430,POINT (-97.52852087874452 28.286432170160897)
24,3120290,48-186810,2019-WTW-10114-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.521187,28.247931,POINT (-97.52118182380408 28.247933202751746)
25,3119890,48-186773,2019-WTW-10008-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.544159,28.304850,POINT (-97.54415390271437 28.30485213884957)
26,3119196,48-186766,2019-WTW-10156-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.529778,28.259199,POINT (-97.52977284255098 28.259201188755124)
27,3119622,48-186788,2019-WTW-10041-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.483330,28.269131,POINT (-97.48332484167861 28.269133230174738)
28,3120000,48-186781,2019-WTW-10025-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.515862,28.259130,POINT (-97.51585684091236 28.259132203908557)
29,3119184,48-186778,2019-WTW-10019-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.524773,28.266619,POINT (-97.52476785198711 28.26662118878352)
30,3120276,48-186807,2019-WTW-10091-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.558762,28.245131,POINT (-97.55875682258262 28.245133161147738)
31,3120299,48-186803,2019-WTW-10084-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.573631,28.246149,POINT (-97.57362582735682 28.246151146303703)
32,3120238,48-186805,2019-WTW-10085-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.567650,28.248981,POINT (-97.5676448332191 28.248983154218738)
33,3119888,48-186779,2019-WTW-10045-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.473061,28.281769,POINT (-97.47305585295736 28.281771232115513)
34,3119472,48-186809,2019-WTW-10094-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.534958,28.251801,POINT (-97.53495283341105 28.251803188610186)
35,3119872,48-186776,2019-WTW-10048-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.461571,28.280350,POINT (-97.4615658429601 28.280352244401524)
36,3118936,48-186782,2019-WTW-10029-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.507957,28.290890,POINT (-97.50795188455155 28.29089218999126)
37,3119202,48-186740,2019-WTW-10004-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.555298,28.277781,POINT (-97.55529286854284 28.27778314685065)
38,3120246,48-186768,2019-WTW-10005-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,2/17/2022,Digital Globe,-97.552658,28.307249,POINT (-97.55265290539549 28.307251127338127)
39,3119586,48-186802,2019-WTW-10124-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.503418,28.245569,POINT (-97.50341281496425 28.245571218939833)
40,3116737,48-186814,2019-WTW-10099-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.551064,28.236719,POINT (-97.55105880070303 28.236721163032666)
41,3119768,48-186798,2019-WTW-10076-OE,,,TX,Bee County,48025,Blackjack Creek,2022,50,240,Nordex,N155/4800,4800,108,155,18869.19,185.5,0,,1,3,3/22/2022,Digital Globe,-97.566048,28.254551,POINT (-97.56604284094496 28.25455315300172)
